race,date,wpm,text,outcome,acc,points,race_rank
762,2022-09-27 15:25:39,75.8,"Throw your soul through every open door, count your blessing...",No win (2 of 5),0.97,43,2
761,2022-09-27 15:24:50,96.3,You're not going through it. It's going through you. And onc...,No win (2 of 4),0.99,132,2
760,2022-09-27 10:08:38,67.1,"A turn here, a turn there, and it goes on for years, becomes...",No win (2 of 5),0.96,85,2
759,2022-09-27 09:00:47,86.64,Opening your eyes is all that is needing. The heart lies and...,Win (1 of 5),0.99,79,1
758,2022-05-14 12:23:44,89.59,"I walk a mile with a smile and I don't know, I don't care wh...",Win (1 of 2),0.98,82,1
757,2022-05-14 12:22:39,64.57,"When a man's an empty kettle, he should be on his mettle, an...",No win (2 of 2),0.94,36,2
756,2022-05-14 12:21:33,101.36,"And certainly, the mistakes that we male and female mortals ...",Win (1 of 2),0.99,49,1
755,2022-05-14 12:20:39,88.8,"The less you do with the controls, the less chance of error....",Win (1 of 2),0.98,58,1
754,2022-05-13 11:18:07,81.57,"I'm not proud, I was wrong and the truth is hard to take. I ...",Win (1 of 2),0.99,57,1
753,2022-05-13 11:14:23,77.61,Nothing in life is easy. But that's no reason to give up. Yo...,Win (1 of 2),0.97,34,1
752,2022-05-13 09:57:49,79.43,We all know people who are very bright but who do not always...,No win (3 of 5),0.97,56,3
751,2022-05-13 09:57:00,76.56,"Because some men aren't looking for anything logical, like m...",No win (3 of 5),0.97,36,3
750,2022-05-13 09:56:21,75.01,Earlier tonight I went out. I went out hard. I drank a lot o...,No win (3 of 5),0.96,140,3
749,2022-05-13 09:54:45,76.73,"A long, long time ago, I can still remember how that music u...",No win (5 of 5),0.96,51,5
748,2022-05-13 09:54:04,78.89,Today is the shadow of tomorrow. Today is the present future...,Win (1 of 4),0.98,74,1
747,2022-05-13 09:53:05,74.15,Have I told you lately that I love you? Have I told you ther...,No win (3 of 5),0.95,43,3
746,2022-05-13 08:53:08,88.04,You don't know what you're trying to take from me. You don't...,Win (1 of 5),0.99,66,1
745,2022-05-12 13:15:45,106.63,I think a nerd is a person who uses the telephone to talk to...,Win (1 of 5),0.99,62,1
744,2022-05-12 13:15:09,83.71,"So, I guess we are who we are for a lot of reasons. And mayb...",Win (1 of 5),0.98,81,1
743,2022-05-12 13:14:15,89.36,"This tree is our symbol. Our affirmation of life, and everyo...",No win (3 of 5),0.99,55,3
